Facility_Name,City,ZIP_Code,County_Code,County_Name,Type,Category,longitude,latitude,x,y
PLANNED PARENTHOOD OF PASADENA - NORTHWEST CLINIC,Pasadena,91103,37,Los Angeles,Clinic,Community Clinic,-118.15085,34.17818,-13152491.11,4052751.753
LOS ANGELES MISSION COMM. MOBILE MED. CL. MINISTRY,Los Angeles,90013,37,Los Angeles,Clinic,Community Clinic,-118.24495,34.04559,-13162966.27,4034924.637
CLEAVER FAMILY WELLNESS CLINIC,El Monte,91731,37,Los Angeles,Clinic,Community Clinic,-118.02941,34.08572,-13138972.47,4040317.284
FRANCISCAN QUEENSCARE GARFIELD CLINIC,Monterey Park,91754,37,Los Angeles,Clinic,Community Clinic,-118.13013,34.03431,-13150184.57,4033409.295
QUEENSCARE  HEALTH CENTERS,Los Angeles,90063,37,Los Angeles,Clinic,Community Clinic,-118.1787,34.03734,-13155591.36,4033816.322
FOSHAY CLINIC,Los Angeles,90018,37,Los Angeles,Clinic,Community Clinic,-118.30621,34.01918,-13169785.7,4031377.067
FAMILY HEALTH CENTER,Pomona,91767,37,Los Angeles,Clinic,Community Clinic,-117.74928,34.07588,-13107788.55,4038994.752
HUNTINGTON AMBULATORY CARE CLINIC,Pasadena,91105,37,Los Angeles,Clinic,Community Clinic,-118.1519,34.1339,-13152607.99,4046795.067
"HUMAN RESOURCE CENTER, INC. DBA DEL CARMEN MED CTR",Reseda,91335,37,Los Angeles,Clinic,Community Clinic,-118.55246,34.19375,-13197198.12,4054847.024
EL SERENOL WILSON HEALTH START CLINIC,Los Angeles,90032,37,Los Angeles,Clinic,Community Clinic,-118.18786,34.06999,-13156611.04,4038203.192
"COMPTON CENTRAL HEALTH CLINIC, INC.",Compton,90220,37,Los Angeles,Clinic,Community Clinic,-118.25213,33.89693,-13163765.55,4014969.972
AMERICAN HEALTH SERVICES AT HAWAIIAN GARDENS,Hawaiian Gardens,90716,37,Los Angeles,Clinic,Community Clinic,-118.072264,33.834025,-13143742.96,4006536.699
AHF HEALTHCARE CENTER-VALLEY,Sherman Oaks,91403,37,Los Angeles,Clinic,Community Clinic,-118.44874,34.15864,-13185652.07,4050122.788
CHILDREN'S DENTAL HEALTH CLINIC - BELLFLOWER,Bellflower,90706,37,Los Angeles,Clinic,Community Clinic,-118.12073,33.88213,-13149138.17,4012985.271
ST JOHN'S WELL CHILD CENTER/COMPTON,Compton,90222,37,Los Angeles,Clinic,Community Clinic,-118.23919,33.91156,-13162325.07,4016932.214
"COAST PLAZA BIRTHING CENTER, LLC",Norwalk,90650,37,Los Angeles,Clinic,Community Clinic,-118.09907,33.91195,-13146726.99,4016984.526
TORRANCE MISSION HEALTH CENTER,Torrance,90503,37,Los Angeles,Clinic,Community Clinic,-118.3459,33.83765,-13174203.98,4007022.513
ST. ANTHONY MEDICAL CENTER/HOLLYWOOD CLINIC,Los Angeles,90028,37,Los Angeles,Clinic,Community Clinic,-118.32873,34.10159,-13172292.62,4042450.595
SAMUEL DIXON FAMILY HEALTH CENTER CYN CNTRY CLINIC,Canyon Country,91351,37,Los Angeles,Clinic,Community Clinic,-118.47596,34.41652,-13188682.18,4084867.889
ST. ANTHONY MEDICAL CENTER/IMPERIAL CLINIC,Los Angeles,90044,37,Los Angeles,Clinic,Community Clinic,-118.2901,33.93105,-13167992.35,4019546.825
ST. ANTHONY MEDICAL CENTER/ PICO CLINIC,Los Angeles,90006,37,Los Angeles,Clinic,Community Clinic,-118.29212,34.04735,-13168217.21,4035161.091
CRENSHAW COMMUNITY HEALTH CENTER,Los Angeles,90008,37,Los Angeles,Clinic,Community Clinic,-118.33916,34.00939,-13173453.68,4030062.288
"LOS ANGELES MISSION COLLEGE, STUDENT HLTH CTR",Sylmar,91342,37,Los Angeles,Clinic,Community Clinic,-118.41958,34.31392,-13182405.99,4071031.443
CITY HELP WELLNESS CENTER,Los Angeles,90026,37,Los Angeles,Clinic,Community Clinic,-118.269792,34.074206,-13165731.67,4038769.779
ARROYO VISTA FAMILY HEALTH CENTER MOBILE CLINIC I,Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.188876,34.111341,-13156724.14,4043761.56
COMMUNITY HEALTH FOUNDATION ESTRADA COURTS HC,Los Angeles,90023,37,Los Angeles,Clinic,Community Clinic,-118.2081,34.02093,-13158864.15,4031612.104
COMMUNITY HEALTH FOUNDATION WILLIAM MEAD HOMES HC,Los Angeles,90012,37,Los Angeles,Clinic,Community Clinic,-118.22938,34.06355,-13161233.03,4037337.777
COMMUNITY HEALTH FOUNDATION GAGE MIDDLE SCHOOL HC,Huntington Park,90255,37,Los Angeles,Clinic,Community Clinic,-118.21736,33.98119,-13159894.97,4026275.927
BIENVENIDOS COMMUNITY HEALTH CENTER,Los Angeles,90022,37,Los Angeles,Clinic,Community Clinic,-118.15204,34.03138,-13152623.58,4033015.715
"ANGELES COMPREHENSIVE COMMUNITY CLINIC, INC",Los Angeles,90065,37,Los Angeles,Clinic,Community Clinic,-118.23013,34.11935,-13161316.52,4044838.437
ASIAN PACIFIC HEALTH CARE VENTURE - JMHS HEALTH CENTER,Los Angeles,90027,37,Los Angeles,Clinic,Community Clinic,-118.27709,34.1073,-13166544.08,4043218.253
"JWCH INSTITUTE, INC, MEDICAL CLINIC/WEINGART CTR.",Los Angeles,90013,37,Los Angeles,Clinic,Community Clinic,-118.2442878,34.0435411,-13162892.56,4034649.375
MACLAY HEALTH CENTER FOR CHILDREN,Pacoima,91331,37,Los Angeles,Clinic,Community Clinic,-118.40719,34.27162,-13181026.74,4065331.869
COMMUNITY HEALTH FOUNDATION GRIFFITH SCHOOL-BASED,Los Angeles,90023,37,Los Angeles,Clinic,Community Clinic,-118.1626,34.03121,-13153799.11,4032992.88
PIH FAMILY PRACTICE CENTER,Whittier,90602,37,Los Angeles,Clinic,Community Clinic,-118.04908,33.96735,-13141162.13,4024418.115
COMMUNITY HEALTH FOUNDATION BRYSON/SAN MIGUEL CTR.,South Gate,90280,37,Los Angeles,Clinic,Community Clinic,-118.20083,33.94479,-13158054.86,4021390.424
ARROYO VISTA FAMILY HEALTH CENTER,Los Angeles,90032,37,Los Angeles,Clinic,Community Clinic,-118.1798873,34.066249,-13155723.53,4037700.463
COMMUNITY HEALTH FOUNDATION MAR/VISTA GARDENS HC,Culver City,90230,37,Los Angeles,Clinic,Community Clinic,-118.41074,33.994,-13181421.93,4027995.747
UMMA COMMUNITY CLINIC,Los Angeles,90044,37,Los Angeles,Clinic,Community Clinic,-118.28627,33.97468,-13167565.99,4025402.021
PRESBYTERIAN HEALTH PHYSICIANS FAMILY HEALTH/CTR.,Whittier,90606,37,Los Angeles,Clinic,Community Clinic,-118.050897,33.967506,-13141364.4,4024439.054
PRESBYTERIAN HEALTH PHYSICIANS CHILDREN'S HLTH CTR,La Mirada,90638,37,Los Angeles,Clinic,Community Clinic,-118.01045,33.91705,-13136861.86,4017668.643
BAART BEVERLY CLINIC,Los Angeles,90057,37,Los Angeles,Clinic,Community Clinic,-118.26859,34.06586,-13165597.86,4037648.19
BAART HOLLYWOOD CLINIC,Los Angeles,90028,37,Los Angeles,Clinic,Community Clinic,-118.32971,34.10168,-13172401.71,4042462.694
BAART LA PUENTE CLINIC,La Puente,91744,37,Los Angeles,Clinic,Community Clinic,-117.95262,34.03783,-13130424.25,4033882.144
BAART SOUTHEAST CLINIC,Los Angeles,90011,37,Los Angeles,Clinic,Community Clinic,-118.26521,33.99833,-13165221.61,4028577.133
PRESBYTERIAN HEALTH PHYSICIANS-WOMEN'S H/C,Downey,90241,37,Los Angeles,Clinic,Community Clinic,-118.13475,33.94681,-13150698.87,4021661.488
KID'S COMMUNITY CLINIC OF BURBANK,Burbank,91502,37,Los Angeles,Clinic,Community Clinic,-118.31032,34.18456,-13170243.23,4053610.27
MISSION CITY COMMUNITY NETWORK-HOLLYWOOD,Los Angeles,90027,37,Los Angeles,Clinic,Community Clinic,-118.29519,34.10176,-13168558.96,4042473.448
THE SABAN COMMUNITY CLINIC - HOLLYWOOD WILSHIRE HEALTH CENTE,Los Angeles,90038,37,Los Angeles,Clinic,Community Clinic,-118.3139,34.08354,-13170641.75,4040024.274
BUDDHIST TZU CHI FREE CLINIC (MOBILE CLINIC),Alhambra,91801,37,Los Angeles,Clinic,Free Clinic,-118.12304,34.08455,-13149395.32,4040160.025
FOUNDATION COMMUNITY MEDICAL CENTER,Los Angeles,90044,37,Los Angeles,Clinic,Community Clinic,-118.28258,33.9611,-13167155.23,4023579.247
AMERICAN INDIAN HEALING CENTER,Whittier,90602,37,Los Angeles,Clinic,Community Clinic,-118.046434,33.967463,-13140867.58,4024433.282
PEOPLE ASSISTING THE HOMELESS,Los Angeles,90004,37,Los Angeles,Clinic,Free Clinic,-118.28905,34.07691,-13167875.46,4039133.184
HEALTH ON WHEELS,Val Verde,91384,37,Los Angeles,Clinic,Community Clinic,-118.66255,34.44698,-13209453.28,4088978.935
INDEPENDENCE COMMUNITY TREATMENT CLINIC,Reseda,91335,37,Los Angeles,Clinic,Community Clinic,-118.552588,34.186737,-13197212.37,4053903.231
HARBOR FREE CLINIC PEDIATRIC CENTER,San Pedro,90731,37,Los Angeles,Clinic,Free Clinic,-118.2804888,33.73765181,-13166922.43,3993628.589
CHILDREN'S DENTAL HEALTH CLINIC/HILLSIDE MED PLAZA,Long Beach,90806,37,Los Angeles,Clinic,Community Clinic,-118.18486,33.80951,-13156277.09,4003251.811
ARROYO VISTA FAMILY HEALTH CENTER-MOBILE CLINIC II,Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.18891,34.11147,-13156727.93,4043778.904
"CHILDREN'S CLINIC FAMILY HLTH CTR., THE/N. LONG BEACH",Long Beach,90805,37,Los Angeles,Clinic,Community Clinic,-118.17949,33.88181,-13155679.3,4012942.363
VASEK POLAK CHILDREN'S CLINIC FAM. HLTH CTR,Long Beach,90813,37,Los Angeles,Clinic,Community Clinic,-118.19241,33.7801,-13157117.55,3999312.259
ARROYO VISTA FAMILY HEALTH CENTER - WILLIAM MEAD,Los Angeles,90012,37,Los Angeles,Clinic,Community Clinic,-118.22938,34.06355,-13161233.03,4037337.777
ARROYO VISTA FAMILY HEALTH CENTER - ESTRADA COURTS,Los Angeles,90023,37,Los Angeles,Clinic,Community Clinic,-118.2081,34.02093,-13158864.15,4031612.104
ARROYO VISTA FAMILY HEALTH CENTER - RAMONA GARDENS,Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.19499,34.05831,-13157404.75,4036633.667
VENICE FAMILY CLINIC-MAR VISTA GARDENS CLINIC,Culver City,90230,37,Los Angeles,Clinic,Free Clinic,-118.41074,33.994,-13181421.93,4027995.747
SAINT ANTHONY MEDICAL CENTER -SOTO,Huntington Park,90255,37,Los Angeles,Clinic,Community Clinic,-118.219565,33.99053,-13160140.43,4027529.852
CLINICA MONSENOR OSCAR A. ROMERO,Los Angeles,90033,37,Los Angeles,Clinic,Community Clinic,-118.207,34.05633,-13158741.7,4036367.622
"ALL FOR HEALTH HEALTH FOR ALL, INC.",Glendale,91205,37,Los Angeles,Clinic,Community Clinic,-118.24987,34.14642,-13163513.96,4048478.982
NORTHEAST COMMUNITY CLINIC-BELL,Bell,90201,37,Los Angeles,Clinic,Community Clinic,-118.1928,33.97866,-13157160.96,4025936.29
ST JOHN'S WELL CHILD AND FAM CENTER-LINCOLN HEIGHTS,Los Angeles,90031,37,Los Angeles,Clinic,Community Clinic,-118.20461,34.07467,-13158475.64,4038832.137
ST. JOHN'S WELL CHILD AND FAM CTR/GRIFFITH AVE CL,Los Angeles,90022,37,Los Angeles,Clinic,Community Clinic,-118.1626,34.03121,-13153799.11,4032992.88
ST. JOHN'S WELL CHILD AND FAM CENTER-DENTAL CLINIC,Los Angeles,90007,37,Los Angeles,Clinic,Community Clinic,-118.2729,34.03009,-13166077.65,4032842.438
"ALTAMED MEDICAL GROUP, BELL",Bell,90201,37,Los Angeles,Clinic,Community Clinic,-118.18782,33.97308,-13156606.59,4025187.245
UNIVERSAL HEALTH FOUNDATION,Los Angeles,90033,37,Los Angeles,Clinic,Community Clinic,-118.2143,34.04512,-13159554.33,4034861.493
COMPREHENSIVE COMMUNITY HEALTH CTR. INC-EAGLE ROCK,Los Angeles,90041,37,Los Angeles,Clinic,Community Clinic,-118.2037786,34.13929106,-13158383.1,4047520.123
"COMPREHENSIVE COMMUNITY HEALTH CTR., INC-HIGHLAND PARK",Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.20506,34.12116,-13158525.74,4045081.821
"COMPREHENSIVE COMMUNITY HEALTH CTR., INC-N HOLLYWOOD",North Hollywood,91606,37,Los Angeles,Clinic,Community Clinic,-118.3985189,34.18701416,-13180061.48,4053940.528
CALIFORNIA FAMILY CARE MED. GRP. KING CTR. CLINIC,Los Angeles,90016,37,Los Angeles,Clinic,Community Clinic,-118.34575,34.01771,-13174187.28,4031179.639
ALTAMED MEDICAL AND DENTAL GROUP-E.L.A.BOYLE HEIGHTS,Los Angeles,90023,37,Los Angeles,Clinic,Community Clinic,-118.18786,34.02395,-13156611.04,4032017.723
CALIFORNIA FAMILY CARE MED. GRP. PRIMEROS PASITOS,Los Angeles,90015,37,Los Angeles,Clinic,Community Clinic,-118.25501,34.04174,-13164086.15,4034407.41
"CALIFORNIA FAMILY CARE MED. GROUP, WOMEN'S HEALTH",Los Angeles,90015,37,Los Angeles,Clinic,Community Clinic,-118.265341,34.037012,-13165236.19,4033772.261
CLINICA PARA LAS MUJERES,Los Angeles,90037,37,Los Angeles,Clinic,Community Clinic,-118.27678,34.00389,-13166509.57,4029323.714
"CATALYST FOUNDATION FOR AIDS AWARENESS AND CARE, THE",Lancaster,93534,37,Los Angeles,Clinic,Community Clinic,-118.141505,34.695251,-13151450.82,4122543.034
EDISON PACIFIC,Glendale,91204,37,Los Angeles,Clinic,Community Clinic,-118.2644416,34.140506,-13165136.07,4047683.53
ANTELOPE VALLEY PREGNANCY COUNSELING CENTER,Palmdale,93550,37,Los Angeles,Clinic,Community Clinic,-118.10419,34.579594,-13147296.94,4106894.731
SOUTH BAY FAMILY HEALTHCARE CENTER,Inglewood,90301,37,Los Angeles,Clinic,Community Clinic,-118.3529708,33.94924317,-13174991.09,4021988.005
JWCH MEDICAL CLINIC,Los Angeles,90004,37,Los Angeles,Clinic,Community Clinic,-118.28915,34.07758,-13167886.59,4039223.231
PLANNED PARENTHOOD LOS ANGELES-BIXBY BOYLE HTS CTR,Los Angeles,90033,37,Los Angeles,Clinic,Community Clinic,-118.216835,34.039667,-13159836.53,4034128.923
WESTSIDE PREGNANCY RESOURCE CENTER,Santa Monica,90405,37,Los Angeles,Clinic,Community Clinic,-118.48247,34.0124,-13189406.87,4030466.511
"KAMILA COMPREHENSIVE HEALTH CENTER, INC.",Pasadena,91104,37,Los Angeles,Clinic,Community Clinic,-118.132333,34.163666,-13150429.81,4050798.94
INSTITUTE FOR MULTICULTURAL COUNSELING AND EDUCATION,Glendale,91203,37,Los Angeles,Clinic,Community Clinic,-118.25515,34.15239,-13164101.73,4049282.022
FOOTHILLS PREGNANCY RESOURCE CENTER,Duarte,91010,37,Los Angeles,Clinic,Free Clinic,-117.9774859,34.1416482,-13133192.31,4047837.153
EL PROYECTO DEL BARRIO - MOBILE UNIT,Los Angeles,90022,37,Los Angeles,Clinic,Community Clinic,-118.1627,34.03315,-13153810.25,4033253.473
PREGNANCY COUNSELING CENTER,Mission Hills,91345,37,Los Angeles,Clinic,Community Clinic,-118.4678142,34.2557811,-13187775.4,4063198.447
"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",Los Angeles,90026,37,Los Angeles,Clinic,Community Clinic,-118.26371,34.0613,-13165054.63,4037035.435
DUAL DIAGNOSIS ASSESSMENT AND TREATMENT CTR. INC.,Los Angeles,90002,37,Los Angeles,Clinic,Community Clinic,-118.2413,33.94587,-13162559.96,4021535.349
"CHILDREN'S CLINIC FAM HLTH CTR AT CESAR CHAVEZ, THE",Long Beach,90802,37,Los Angeles,Clinic,Community Clinic,-118.20135,33.77052,-13158112.75,3998029.283
"FAMILY CLINIC OF LONG BEACH, THE",Long Beach,90813,37,Los Angeles,Clinic,Community Clinic,-118.1880262,33.779725,-13156629.55,3999262.035
PLANNED PARENTHOOD LOS ANGELES-DOROTHY HECHT CTR,Los Angeles,90003,37,Los Angeles,Clinic,Community Clinic,-118.27826,33.96118,-13166674.33,4023589.984
QUEENSCARE HEALTH CENTERS,Los Angeles,90004,37,Los Angeles,Clinic,Community Clinic,-118.29051,34.07084,-13168037.99,4038317.421
ALTAMED MEDICAL GROUP AT CHILDRENS HOSPITAL L.A.,Los Angeles,90027,37,Los Angeles,Clinic,Community Clinic,-118.29835,34.09795,-13168910.73,4041961.256
ALTAMED GENERAL PEDIATRICS @ CHILDREN'S HOSPITAL,Los Angeles,90027,37,Los Angeles,Clinic,Community Clinic,-118.29063,34.09812,-13168051.35,4041984.109
CESAR E. CHAVEZ MULTICULTURAL WELLNESS CENTER,Los Angeles,90015,37,Los Angeles,Clinic,Community Clinic,-118.26545,34.03671,-13165248.32,4033731.692
ST JOHN'S WELL CHILD AND FAMILY CENTER - DR. LOUIS,Los Angeles,90037,37,Los Angeles,Clinic,Community Clinic,-118.2873589,33.99019518,-13167687.21,4027484.899
ARROYO VISTA FAMILY HEALTH CENTER-LINCOLN HEIGHTS,Los Angeles,90031,37,Los Angeles,Clinic,Community Clinic,-118.21638,34.07366,-13159785.87,4038696.401
MISSION CITY COMTY NETWORK - PACOIMA MIDDLE SCHOOL,Pacoima,91331,37,Los Angeles,Clinic,Community Clinic,-118.42355,34.25063,-13182847.93,4062504.705
KHEIR HEALTH SERVICE CENTER,Los Angeles,90020,37,Los Angeles,Clinic,Community Clinic,-118.30369,34.06359,-13169505.18,4037343.152
PLANNED PARENTHOOD EAGLE ROCK EXPRESS,Los Angeles,90041,37,Los Angeles,Clinic,Community Clinic,-118.20067,34.13948,-13158037.05,4047545.535
NORTHEAST COMMUNITY CLINIC-MOBIL MEDICAL VAN,Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.19128,34.11031,-13156991.76,4043622.94
NORTHEAST COMMUNITY CLINIC-WILMINGTON,Wilmington,90744,37,Los Angeles,Clinic,Community Clinic,-118.26216,33.778813,-13164882.08,3999139.893
EL PROYECTO DEL BARRIO - AZUSA,Azusa,91702,37,Los Angeles,Clinic,Community Clinic,-117.90756,34.12384,-13125408.2,4045442.198
NORTHEAST COMMUNITY CLINIC WOMEN'S HEALTH CENTER,Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.1911309,34.11010622,-13156975.16,4043595.542
ORTHOPAEDIC INSTITUTE FOR CHILDREN,Los Angeles,90011,37,Los Angeles,Clinic,Community Clinic,-118.27371,34.02713,-13166167.82,4032444.848
ANTELOPE VALLEY COMMUNITY CLINIC,Lancaster,93534,37,Los Angeles,Clinic,Community Clinic,-118.151403,34.649272,-13152552.66,4116319.498
VENICE FAMILY CLINIC - COLEN FAMILY HEALTH CENTER,Culver City,90230,37,Los Angeles,Clinic,Community Clinic,-118.4146373,33.9937097,-13181855.77,4027956.77
ELIZABETH CENTER MOBILE MEDICAL VAN,Los Angeles,90017,37,Los Angeles,Clinic,Community Clinic,-118.2592075,34.057013,-13164553.41,4036459.394
CALIFORNIA FAMILY CARE - WEST,Los Angeles,90016,37,Los Angeles,Clinic,Community Clinic,-118.3452028,34.04777366,-13174126.36,4035218.011
PRESBYTERIAN HEALTH PHYSICIANS - WOMEN'S H/C,Norwalk,90650,37,Los Angeles,Clinic,Community Clinic,-118.0822915,33.91283354,-13144859.21,4017103.042
APLA DENTAL SERVICES,Los Angeles,90017,37,Los Angeles,Clinic,Community Clinic,-118.26416,34.05273,-13165104.72,4035883.92
DUAL DIAGNOSIS ASSESSMENT AND TREATMENT CTR INC.,Valley Village,91607,37,Los Angeles,Clinic,Community Clinic,-118.405598,34.172237,-13180849.52,4051952.102
JWCH NORWALK REGIONAL HEALTH CENTER,Norwalk,90650,37,Los Angeles,Clinic,Community Clinic,-118.06974,33.90612,-13143461.99,4016202.536
CARE NET WOMEN'S RESOURCE CENTER OF NORTH COUNTY,Lancaster,93534,37,Los Angeles,Clinic,Community Clinic,-118.144517,34.704077,-13151786.12,4123738.082
BAART LYNWOOD CLINIC,Lynwood,90262,37,Los Angeles,Clinic,Community Clinic,-118.18692,33.92274,-13156506.4,4018431.953
NORTHEAST VALLEY HEALTH CORPORATION,Van Nuys,91401,37,Los Angeles,Clinic,Community Clinic,-118.44876,34.18983,-13185654.29,4054319.469
UNITED AMERICAN INDIAN INVOLVEMENT INC.,Los Angeles,90017,37,Los Angeles,Clinic,Community Clinic,-118.26284,34.0544,-13164957.78,4036108.301
CARE NET WOMEN'S RESOURCE CENTER OF NORTH COUNTY,Lancaster,93534,37,Los Angeles,Clinic,Community Clinic,-118.1483841,34.696377,-13152216.6,4122695.489
"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC",Glendale,91205,37,Los Angeles,Clinic,Community Clinic,-118.2403769,34.13674415,-13162457.19,4047177.578
SANTA CLARITA HEALTH CENTER,Santa Clarita,91351,37,Los Angeles,Clinic,Community Clinic,-118.45684,34.41648,-13186553.75,4084862.491
MISSION CITY COMMUNITY NETWORK - MISSION HILLS,Mission Hills,91345,37,Los Angeles,Clinic,Community Clinic,-118.46731,34.25574,-13187719.27,4063192.911
S MARK TAPER FOUNDATION CHILDREN'S CLINIC FAMILY HEALTH CENT,Long Beach,90806,37,Los Angeles,Clinic,Community Clinic,-118.18731,33.80902,-13156549.82,4003186.163
COMPLETE CARE COMMUNITY HEALTH CENTER - SOUTH GATE,South Gate,90280,37,Los Angeles,Clinic,Community Clinic,-118.16378,33.94913,-13153930.47,4021972.817
CHILDRENS DENTAL HEALTH CLINIC,Long Beach,90806,37,Los Angeles,Clinic,Community Clinic,-118.18731,33.80902,-13156549.82,4003186.163
PATHWAYS TO LIFE,Long Beach,90813,37,Los Angeles,Clinic,Community Clinic,-118.167764,33.780978,-13154373.97,3999429.85
CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,Los Angeles,90011,37,Los Angeles,Clinic,Community Clinic,-118.25549,34.01754,-13164139.58,4031156.807
M.E.N.D.,Pacoima,91331,37,Los Angeles,Clinic,Community Clinic,-118.41912,34.26324,-13182354.78,4064203.074
TARZANA TREATMENT CENTER FAMILY MEDICAL CLINIC,Northridge,91324,37,Los Angeles,Clinic,Community Clinic,-118.53604,34.22161,-13195370.26,4058597.134
NEVHC HOMELESS MOBILE CLINIC,San Fernando,91340,37,Los Angeles,Clinic,Community Clinic,-118.4241,34.29584,-13182909.15,4068594.962
HERALD CHRISTIAN HEALTH CENTER,San Gabriel,91776,37,Los Angeles,Clinic,Community Clinic,-118.09089,34.09074,-13145816.39,4040992.05
CLARIS HEALTH,Los Angeles,90064,37,Los Angeles,Clinic,Community Clinic,-118.44465,34.0361,-13185196.77,4033649.75
ALTAMED MEDICAL GROUP-SENIOR BUENA CARE RUGBY,Huntington Park,90255,37,Los Angeles,Clinic,Community Clinic,-118.22653,33.98273,-13160915.77,4026482.667
SAFE HARBOR WOMEN'S CLINIC,Los Angeles,90013,37,Los Angeles,Clinic,Community Clinic,-118.2455288,34.0480467,-13163030.7,4035254.693
COMPLETE CARE COMMUNITY HEALTH CENTER,Los Angeles,90033,37,Los Angeles,Clinic,Community Clinic,-118.20068,34.04365,-13158038.16,4034664.005
ARROYO VISTA FAMILY HEALTH CENTER - LOMA DRIVE,Los Angeles,90017,37,Los Angeles,Clinic,Community Clinic,-118.26575,34.05975,-13165281.72,4036827.159
BIENVENIDOS COMMUNITY HEALTH CENTER,Los Angeles,90022,37,Los Angeles,Clinic,Community Clinic,-118.15535,34.02688,-13152992.05,4032411.268
SCV PREGNANCY CENTER,Valencia,91355,37,Los Angeles,Clinic,Community Clinic,-118.55232,34.41325,-13197182.54,4084426.641
"ALL FOR HEALTH, HEALTH FOR ALL, INC.",Glendale,91205,37,Los Angeles,Clinic,Community Clinic,-118.24958,34.14636,-13163481.68,4048470.911
ALTAMED MEDICAL GROUP,El Monte,91731,37,Los Angeles,Clinic,Community Clinic,-118.0459,34.07648,-13140808.13,4039075.392
NORTHEAST COMMUNITY CLINIC,Los Angeles,90042,37,Los Angeles,Clinic,Community Clinic,-118.19635,34.10782,-13157556.15,4043288.164
"PLANNED PARENTHOOD, EAST LOS ANGELES CENTER",Los Angeles,90022,37,Los Angeles,Clinic,Community Clinic,-118.16038,34.02105,-13153551.99,4031628.22
EL PROYECTO DEL BARRIO - MOBILE UNIT,Azusa,91702,37,Los Angeles,Clinic,Community Clinic,-117.90756,34.12384,-13125408.2,4045442.198
ST. JOHN'S WELL CHILD AND FAMILY CENTER,Los Angeles,90007,37,Los Angeles,Clinic,Community Clinic,-118.2864,34.03963,-13167580.46,4034123.953
SUN VALLEY HEALTH CENTER,Sun Valley,91352,37,Los Angeles,Clinic,Community Clinic,-118.37469,34.2118,-13177408.86,4057276.511
CHAP - DEL MAR,Pasadena,91107,37,Los Angeles,Clinic,Community Clinic,-118.08553,34.14217,-13145219.72,4047907.336
ARROYO VISTA FAMILY HEALTH CENTER-ES HUNTINGTON DRIVE,Los Angeles,90032,37,Los Angeles,Clinic,Community Clinic,-118.17905,34.08601,-13155630.32,4040356.265
CSC COMMUNITY HEALTH CENTER - SAN GABRIEL VALLEY,Alhambra,91801,37,Los Angeles,Clinic,Community Clinic,-118.1290846,34.0983368,-13150068.2,4042013.252
CENTRAL CITY COMMUNITY HEALTH CENTER MOBILE UNIT,Los Angeles,90001,37,Los Angeles,Clinic,Community Clinic,-118.256441,33.98568,-13164245.45,4026878.707
PICO ALISO COMMUNITY CLINIC,Los Angeles,90033,37,Los Angeles,Clinic,Community Clinic,-118.222481,34.042944,-13160465.04,4034569.158
"SOUTHERN CALIFORNIA MEDICAL CENTER, INC.",El Monte,91732,37,Los Angeles,Clinic,Community Clinic,-118.01664,34.06143,-13137550.92,4037052.901
WISE AND HEALTHY AGING,Santa Monica,90401,37,Los Angeles,Clinic,Community Clinic,-118.49294,34.01455,-13190572.39,4030755.249
CHILDREN'S CLINIC AT THE LONG BEACH MULTI-SER CTR FOR THE HO,Long Beach,90813,37,Los Angeles,Clinic,Community Clinic,-118.20895,33.78184,-13158958.77,3999545.299
ST. JOHN'S WELL CHILD AND FAMILY CENTER,Los Angeles,90043,37,Los Angeles,Clinic,Community Clinic,-118.32654,33.98053,-13172048.83,4026187.326
FAMILY HEALTH CENTER,Claremont,91711,37,Los Angeles,Clinic,Community Clinic,-117.6984781,34.1131668,-13102133.31,4044007.041
"MISSION CITY COMMUNITY NETWORK, INC.",Reseda,91335,37,Los Angeles,Clinic,Community Clinic,-118.545002,34.201165,-13196367.9,4055845.003
KID'S COMMUNITY CLINIC OF BURBANK,Burbank,91506,37,Los Angeles,Clinic,Community Clinic,-118.31126,34.16685,-13170347.87,4051227.309
QUEENSCARE HEALTH CENTERS  - EASTSIDE,Los Angeles,90022,37,Los Angeles,Clinic,Community Clinic,-118.1676,34.04058,-13154355.71,4034251.574
CENTRAL MEDICAL CLINIC,Los Angeles,90019,37,Los Angeles,Clinic,Community Clinic,-118.31931,34.047164,-13171243.99,4035136.102
ALTAMED MEDICAL GROUP SENIOR BUENA CARE GRAND PLAZA,Los Angeles,90012,37,Los Angeles,Clinic,Community Clinic,-118.24392,34.0607,-13162851.61,4036954.811
DE NOVO HEALTH CARE,East Rancho Dominguez,90221,37,Los Angeles,Clinic,Community Clinic,-118.2153,33.90348,-13159665.65,4015848.446
HOLLYWOOD MEDICAL AND MENTAL HEALTH SERVICES,Los Angeles,90019,37,Los Angeles,Clinic,Community Clinic,-118.34646,34.04782,-13174266.31,4035224.237
